Age,AgeGroup,Attrition,AttritionBinary,Department,EducationField,Gender,JobRole,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,DistanceFromHome
41,36-45,Yes,1,Sales,Life Sciences,Female,Sales Executive,2,4,Single,5993,8,Yes,3,8,1,6,4,0,5,2,1
49,46-55,No,0,Research & Development,Life Sciences,Male,Research Scientist,2,2,Married,5130,1,No,4,10,3,10,7,1,7,3,8
37,36-45,Yes,1,Research & Development,Other,Male,Laboratory Technician,1,3,Single,2090,6,Yes,3,7,3,0,0,0,0,4,2
33,26-35,No,0,Research & Development,Life Sciences,Female,Research Scientist,1,3,Married,2909,1,Yes,3,8,3,8,7,3,0,4,3
27,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,1,2,Married,3468,9,No,3,6,3,2,2,2,2,1,2
32,26-35,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,1,4,Single,3068,0,No,3,8,2,7,7,3,6,4,2
59,56-65,No,0,Research & Development,Medical,Female,Laboratory Technician,1,1,Married,2670,4,Yes,4,12,2,1,0,0,0,3,3
30,26-35,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,1,3,Divorced,2693,1,No,4,1,3,1,0,0,0,4,24
38,36-45,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,3,3,Single,9526,0,No,4,10,3,9,7,1,8,4,23
36,36-45,No,0,Research & Development,Medical,Male,Healthcare Representative,2,3,Married,5237,6,No,3,17,2,7,7,7,7,3,27
35,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,1,2,Married,2426,0,No,3,6,3,5,4,0,3,1,16
29,26-35,No,0,Research & Development,Life Sciences,Female,Laboratory Technician,2,3,Single,4193,0,Yes,3,10,3,9,5,0,8,4,15
31,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,3,Divorced,2911,1,No,3,5,2,5,2,4,3,1,26
34,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,1,4,Divorced,2661,0,No,3,3,3,2,2,1,2,2,19
28,26-35,Yes,1,Research & Development,Life Sciences,Male,Laboratory Technician,1,3,Single,2028,5,Yes,3,6,3,4,2,0,3,3,24
29,26-35,No,0,Research & Development,Life Sciences,Female,Manufacturing Director,3,1,Divorced,9980,1,No,3,10,3,10,9,8,8,2,21
32,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,2,Divorced,3298,0,Yes,3,7,2,6,2,0,5,1,5
22,18-25,No,0,Research & Development,Medical,Male,Laboratory Technician,1,4,Divorced,2935,1,Yes,3,1,2,1,0,0,0,4,16
53,46-55,No,0,Sales,Life Sciences,Female,Manager,4,4,Married,15427,2,No,3,31,3,25,8,3,7,1,2
38,36-45,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,4,Single,3944,5,Yes,3,6,3,3,2,1,2,4,2
24,18-25,No,0,Research & Development,Other,Female,Manufacturing Director,2,3,Divorced,4011,0,No,3,5,2,4,2,1,3,1,11
36,36-45,Yes,1,Sales,Life Sciences,Male,Sales Representative,1,1,Single,3407,7,No,4,10,3,5,3,0,3,3,9
34,26-35,No,0,Research & Development,Life Sciences,Female,Research Director,3,2,Single,11994,0,No,3,13,3,12,6,2,11,1,7
21,18-25,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,4,Single,1232,1,No,3,0,3,0,0,0,0,3,15
